,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
Beltran_Leyva,0,4,8,8,1,15,0,1,15,5
Beltran_Leyva_Family,4,0,1,3,1,4,1,1,1,2
Familia,8,1,0,20,2,9,0,0,16,4
Golfo,8,3,20,0,9,12,0,6,47,5
Juarez,1,1,2,9,0,13,0,1,1,0
Sinaloa,15,4,9,12,13,0,1,8,8,2
Sinaloa_Family,0,1,0,0,0,1,0,1,0,0
Tijuana,1,1,0,6,1,8,1,0,5,5
Zetas,15,1,16,47,1,8,0,5,0,5
Otros,5,2,4,5,0,2,0,5,5,0
