,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
Beltran_Leyva,0,0,6,11,8,11,2,1,12,0
Beltran_Leyva_Family,0,0,0,0,0,0,0,0,0,0
Familia,6,0,0,2,2,10,0,1,2,0
Golfo,11,0,2,0,8,14,0,5,34,0
Juarez,8,0,2,8,0,15,0,3,4,0
Sinaloa,11,0,10,14,15,0,1,6,7,1
Sinaloa_Family,2,0,0,0,0,1,0,0,1,0
Tijuana,1,0,1,5,3,6,0,0,3,0
Zetas,12,0,2,34,4,7,1,3,0,0
Otros,0,0,0,0,0,1,0,0,0,0
