,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
Beltran_Leyva,0,0,0,0,2,3,0,2,1,0
Beltran_Leyva_Family,0,0,0,0,0,0,0,0,0,0
Familia,0,0,0,0,0,0,0,0,0,0
Golfo,0,0,0,0,6,1,0,0,9,1
Juarez,2,0,0,6,0,3,0,3,0,0
Sinaloa,3,0,0,1,3,0,0,3,2,0
Sinaloa_Family,0,0,0,0,0,0,0,0,0,0
Tijuana,2,0,0,0,3,3,0,0,1,0
Zetas,1,0,0,9,0,2,0,1,0,0
Otros,0,0,0,1,0,0,0,0,0,0
