,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
Beltran_Leyva,0,3,4,19,5,18,1,2,12,3
Beltran_Leyva_Family,3,0,0,7,1,6,1,1,4,0
Familia,4,0,0,13,1,7,3,0,20,2
Golfo,19,7,13,0,11,20,5,4,91,7
Juarez,5,1,1,11,0,22,0,6,5,6
Sinaloa,18,6,7,20,22,0,5,14,18,12
Sinaloa_Family,1,1,3,5,0,5,0,2,6,5
Tijuana,2,1,0,4,6,14,2,0,5,7
Zetas,12,4,20,91,5,18,6,5,0,7
Otros,3,0,2,7,6,12,5,7,7,0
