,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
Beltran_Leyva,0,0,0,3,2,2,0,1,2,0
Beltran_Leyva_Family,0,0,0,0,0,0,0,0,0,0
Familia,0,0,0,0,0,0,0,0,0,0
Golfo,3,0,0,0,1,2,0,2,2,0
Juarez,2,0,0,1,0,4,1,0,0,0
Sinaloa,2,0,0,2,4,0,1,1,0,0
Sinaloa_Family,0,0,0,0,1,1,0,0,0,0
Tijuana,1,0,0,2,0,1,0,0,0,0
Zetas,2,0,0,2,0,0,0,0,0,0
Otros,0,0,0,0,0,0,0,0,0,0
