,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
Beltran_Leyva,0,0,1,3,1,11,0,0,3,0
Beltran_Leyva_Family,0,0,0,0,0,0,0,0,0,0
Familia,1,0,0,3,0,1,0,0,3,0
Golfo,3,0,3,0,0,9,0,2,13,0
Juarez,1,0,0,0,0,4,0,1,3,0
Sinaloa,11,0,1,9,4,0,0,1,5,1
Sinaloa_Family,0,0,0,0,0,0,0,0,0,0
Tijuana,0,0,0,2,1,1,0,0,3,1
Zetas,3,0,3,13,3,5,0,3,0,0
Otros,0,0,0,0,0,1,0,1,0,0
