,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
Beltran_Leyva,0,0,0,0,0,0,0,0,0,0
Beltran_Leyva_Family,0,0,0,0,0,0,0,0,0,0
Familia,0,0,0,0,0,0,0,0,0,0
Golfo,0,0,0,0,0,1,0,1,0,0
Juarez,0,0,0,0,0,1,1,0,0,0
Sinaloa,0,0,0,1,1,0,0,1,0,0
Sinaloa_Family,0,0,0,0,1,0,0,0,0,0
Tijuana,0,0,0,1,0,1,0,0,0,0
Zetas,0,0,0,0,0,0,0,0,0,0
Otros,0,0,0,0,0,0,0,0,0,0
